****************************************************************************************************************************************************
**                                                                                                                                                **
** CMG TimeSeries Property Names                                                                                                                  **
** Replace the string '$C' by actual component name                                                                                               **
**                                                                                                                                                **
** File Generated: 08/23/2018 06:01:52 PM                                                                                                         **
**                                                                                                                                                **
****************************************************************************************************************************************************

NAME                                                            DESCRIPTION
LVIOLP                                                          Production cycle violating flag for each CS group
LVIOLP1                                                         CS group production cycle violating flag
LVIOPI                                                          Prod-inj shutin cycle violating flag for each CS group
LVIOPI1                                                         CS group prod-inj shutin cycle violating flag
LVIOTT                                                          Group Cycling Control - Violation Flag
LWATRI                                                          Group Cycling Control - Min. Water Inj. Flag
makeup injection target                                         total injection target for re-cycling
Makeup stream composition for gas recycling                     Makeup stream composition for gas recycling
Makeup stream composition for water recycling                   Makeup stream composition for water recycling
makeup volume for re-cycling                                    makeup volume for re-cycling
Manifold group indicator                                        Manifold group indicator
Manifold pressure constraint translation flag                   Manifold pressure constraint translation flag
Manifold pressure value                                         Manifold pressure value
Mass Flow Cum LEASE I-CON$C                                     Mass cumulative flow per leaseline i-con$C
Mass Flow Cum LEASE I-CON[Sum]                                  Mass cumulative flow per leaseline i-con[Sum]
Mass Flow Cum LEASE J-CON$C                                     Mass cumulative flow per leaseline j-con$C
Mass Flow Cum LEASE J-CON[Sum]                                  Mass cumulative flow per leaseline j-con[Sum]
Mass Flow Cum LEASE K-CON$C                                     Mass cumulative flow per leaseline k-con$C
Mass Flow Cum LEASE K-CON[Sum]                                  Mass cumulative flow per leaseline k-con[Sum]
Mass Flow Cum LEASE$C                                           Mass cumulative flow per leaseline$C
Mass Flow Cum LEASE[Sum]                                        Mass cumulative flow per leaseline[Sum]
Mass Flow Rate LEASE I-CON$C                                    Mass flow rate per leaseline i-con$C
Mass Flow Rate LEASE I-CON[Sum]                                 Mass flow rate per leaseline i-con[Sum]
Mass Flow Rate LEASE J-CON$C                                    Mass flow rate per leaseline j-con$C
Mass Flow Rate LEASE J-CON[Sum]                                 Mass flow rate per leaseline j-con[Sum]
Mass Flow Rate LEASE K-CON$C                                    Mass flow rate per leaseline k-con$C
Mass Flow Rate LEASE K-CON[Sum]                                 Mass flow rate per leaseline k-con[Sum]
Mass Flow Rate LEASE$C                                          Mass flow rate per leaseline$C
Mass Flow Rate LEASE[Sum]                                       Mass flow rate per leaseline[Sum]
Mass Fraction                                                   Mass Fraction
Mass of material                                                Mass of material
Material balance                                                Material balance
Material Balance Error %                                        Material Balance Error %
Max no. column for perf parameters                              Max no. column for perf parameters
Max no. group monitors                                          Maximum number of group monitor types
Max no. inj. reservoir phases                                   Maximum number of injected phases
Max no. prod. reserv phases                                     Maximum number of prod. phases
Max no. prod. reservoir phases + 1                              Maximum number of phases + 1
Max no. prod. surface streams                                   Maximum number of streams
Max no. surface prod streams + 1                                Maximum number of streams + 1
Max Num of Init Regions                                         Max Num of Init Regions
Max rate for pmaint - frac                                      Max rate for pmaint - frac
Max rate for pmaint - mkup                                      Max rate for pmaint - mkup
max recycling injection rate                                    max recycling injection rate
Max residual oil saturation for layers                          Maximum residual oil saturation for layers; 
Max wcut, gor, & bhp types in hyd. tab.                         Max wcut, gor, & bhp types in hyd. tab.
max. no. of workovers (WO) for each well                        max. no. of workovers (WO) for each well
Max. target/capacity below which ranking is applied             Max. target/capacity below which ranking is applied
MAXCUM                                                          Group Cycling Control - Cum. Volume Injection
Maximum constraint dimension                                    Maximum constraint dimension
Maximum CSS group constraint dimension                          Maximum CSS group constraint dimension
maximum node production rates                                   maximum node production rates
Maximum number of BHP entries                                   Maximum number of BHP entries
Maximum number of FCDTABLE entries                              Maximum number of FCDTABLE entries
Maximum number of FCDTABLE tables                               Maximum number of FCDTABLE tables
Maximum number of FCDTABLE variable length                      Maximum number of FCDTABLE variable length
Maximum number of wells in flex well                            Maximum number of wells in flex well
maximum phase rates - reservoir                                 maximum phase rates - reservoir
maximum phase rates - surface                                   maximum phase rates - surface
Membership array -- wells in reporting groups                   Well Membership in Reporting Groups
Memory Usage MB                                                 Instantaneous Memory Usage, MB
min or max well pressure which can ...                          min or max well pressure which can ...
Min. target/capacity above which ranking is applied             Min. target/capacity above which ranking is applied
Mineral Moles Changes SCTR                                      Mineral Moles Changes per SCTR
Mineral Moles Changes SCTR$C                                    Mineral Moles Changes$C per SCTR
Mineral Moles SCTR                                              Mineral Moles per SCTR
Mineral Moles SCTR$C                                            Mineral Moles$C per SCTR
Minimum principle stress                                        Minimum principle stress
Minimum principle stress for GEOGRID                            GEOGRID Minimum principle stress
Minimum principle total stress                                  Minimum principle total stress
Minimum principle total stress for GEOGRID                      GEOGRID Minimum principle total stress
MININJ                                                          Group Cycling Control - Min. Injection Rates
MINOIL                                                          Group Cycling Control - Minimum Oil Prod.
Mobile Oil Rec. Factor SCTR                                     Mobile oil recovery factor per sector
Mobile Oil Volume SC SCTR                                       Mobile oil volume surface conditions per sector
Model Shut Well Flag                                            Flag for modelling crossflow in shut wells
Modified operating constraint for wells                         Modified operating constraint for wells
Modified operating constraint for wells array                   Modified operating constraint for wells
Modified Peaceman Radius                                        Modified Peaceman Radius
Molar Flow Cum LEASE I-CON$C                                    Molar cumulative flow per leaseline i-con$C
Molar Flow Cum LEASE I-CON[Sum]                                 Molar cumulative flow per leaseline i-con[Sum]
Molar Flow Cum LEASE J-CON$C                                    Molar cumulative flow per leaseline j-con$C
Molar Flow Cum LEASE J-CON[Sum]                                 Molar cumulative flow per leaseline j-con[Sum]
Molar Flow Cum LEASE K-CON$C                                    Molar cumulative flow per leaseline k-con$C
Molar Flow Cum LEASE K-CON[Sum]                                 Molar cumulative flow per leaseline k-con[Sum]
Molar Flow Cum LEASE$C                                          Molar cumulative flow per leaseline$C
Molar Flow Cum LEASE[Sum]                                       Molar cumulative flow per leaseline[Sum]
Molar Flow Rate LEASE I-CON$C                                   Molar flow rate per leaseline i-con$C
Molar Flow Rate LEASE I-CON[Sum]                                Molar flow rate per leaseline i-con[Sum]
Molar Flow Rate LEASE J-CON$C                                   Molar flow rate per leaseline j-con$C
Molar Flow Rate LEASE J-CON[Sum]                                Molar flow rate per leaseline j-con[Sum]
Molar Flow Rate LEASE K-CON$C                                   Molar flow rate per leaseline k-con$C
Molar Flow Rate LEASE K-CON[Sum]                                Molar flow rate per leaseline k-con[Sum]
Molar Flow Rate LEASE$C                                         Molar flow rate per leaseline$C
Molar Flow Rate LEASE[Sum]                                      Molar flow rate per leaseline[Sum]
Mole frac in well stream                                        Mole fration in well stream
Mole frac in well stream$C                                      Mole fration in well stream$C
Mole Fraction                                                   Mole Fraction
Moles of material                                               Moles of material
Monitored component index for groups                            Monitored component index for groups
monitoring constraint action                                    monitoring constraint action
monitoring constraint values per well                           monitoring constraint values per well
multiplier for productivity improvements                        multiplier for productivity improvements
multiplier for well in guide rate option                        multiplier for well in guide rate option
MXRATE                                                          Group Cycling Control - Maximum Stream Rates
MXTIME                                                          Group Cycling Control - Cycle duration
NCSGRP                                                          Number of CS groups
NCYCLS                                                          Group Cycling Control - Number of cycles
NCYGRP                                                          Number of Cyclic Control Groups
NCYPTS                                                          Group Cycling Control - Number of cycle parts
NCYSTR                                                          Group Cycling Control - Number of streams
Net Heater Cum SCTR                                             Net Heater cumulative per sector
Net Heater Rate SCTR                                            Net heater rate per sector
Net material gain from aquifers                                 Net material gain from aquifers
Net material gain from reactions                                Net material gain from reactions
Net material gain from wells                                    Net material gain from wells
Net solids gain from reactions                                  Net solids gain from reactions
Network well to reservoir well pointer                          Network well to reservoir well pointer.
Network well to reservoir well pointer array                    Network well to reservoir well pointer.
NEW Grid Nodes' Coords                                          Newly added Grid Nodes' Coordinates
Newton Cycles Cum                                               Newton Cycles from time zero
Newton Cycls per Timestep                                       Newton Cycls per Timestep
ngplsd = 4                                                      ngplsd = 4
No. of Shut-in Wells                                            No. of Shut-in Wells
No. of Wells on Gas Inj                                         No. of Wells on Gas Injection
No. of Wells on Prodn                                           No. of Wells on Production
No. of Wells on Wat Inj                                         No. of Wells on Water Injection
No. pres. matrix entries                                        The total number of pressure matrix entries
node guide rates                                                node guide rates
node number in the next upper level                             node number in the next upper level
node-level of input node names.                                 node-level of input node names.
node-level of processed nodes.                                  node-level of processed nodes.
nodsd1 = nodesd + 1                                             nodsd1 = nodesd + 1
Normal Stresses                                                 Normal stresses for lookup table
Normal Stresses for GEOGRID                                     GEOGRID Normal stresses for lookup table
Normal Stresses in I direction                                  I Normal stress for lookup table
Normal Stresses in J direction                                  J Normal stress for lookup table
Normal Stresses in K direction                                  K Normal stress for lookup table
NPTGG + 1 for (0:NPTGG)                                         Number of grid groups defined plus one
NPTNG + 1 for (0:NPTGN)                                         NPTNG + 1 for (0:NPTGN) arrays
NSLD times NFLBLO                                               NSLD times NFLBLO
NSTTGR                                                          Group Cycling Control - Number parts x streams
Num con - dis. wellbore                                         Number of connections for  discretized wellbore
Num Control Lump Characters                                     Number of Control Lump character quantities
Num cs indices                                                  Number of complete storage indices
Num flex wells                                                  Number of Flexible Wellbores
Num heatloss wellbores                                          Number of heatloss wellbores
Num OB layers - SAM                                             Number of overburden layers for SAM
Num OB of SAM wells                                             Number of SAM wells
Num OB temperatures                                             Number of overburden temperatures
Num OB temperatures - SAM                                       Number of overburden temperatures for SAM
Num of Props to SRF                                             Number of grid properties output to SRF
Num Report Lump Characters                                      Number of Report Lump character quantities
Num SAM divisions - SAM                                         Number of total wellbore divisions for SAM
Num special vals for SRF                                        Number of special values for SRF well
Num TrigAct Characters                                          Number of Trigger Action character quantities
Num TrigAct Integers                                            Number of Trigger Action initeger quantities
Num TrigAct Logicals                                            Number of Trigger Action logical quantities
Num TrigAct Reals                                               Number of Trigger Action real quantities
Num TrigActVar Characters                                       Number of Trigger Action Variables character quantities
Num TrigActVar Integers                                         Number of Trigger Action Variables integer quantities
Num TrigActVar Logicals                                         Number of Trigger Action Variables logical quantities
Num TrigActVar Reals                                            Number of Trigger Action Variables real quantities
Num. Electrical Boundaries                                      Num. Electrical Boundaries
Number aquifers (x6)                                            6 times the total number of aquifers
Number grid groups                                              Number of grid groups defined
Number lease lines (x4)                                         4 times the number of lease lines
Number of active grid indices for DR                            Number of active grid storage indices for dynamic refinement
Number of alq values in table                                   Number of alq values in table
Number of aquifer connections                                   Number of aquifer connections
Number of BHP entries                                           Number of BHP entries
Number of blocks X 8 of Newly added blocks                      Number of blocks X 8 of newly added blocks
Number of blocks X 8 of Node based Grid                         Number of blocks X 8 of Node Based Corner Point Grid
Number of calls to wmgydr                                       Number of calls to wmgydr
Number of calls to wmhydr                                       Number of calls to wmhydr
Number of calls to wmhymd                                       Number of calls to wmhymd
Number of compaction regions                                    Number of compaction regions
number of components for each well - injection                  number of components for each well - injection
number of components wellbore option                            number of components wellbore option
Number of connections - array TRMP                              Number of connections - array TRMP
Number of CSS group constraints                                 Number of CSS group constraints
number of divisions                                             number of divisions
Number of DW layers                                             Number of DW layers
Number of Elect. Boun.                                          Number of Electrical Boundaries
Number of FCDTABLE tables                                       Number of FCDTABLE tables
Number of flex wellbore blocks                                  Number of flex wellbore blocks
Number of flowing components                                    Number of flowing components
number of Gas Lift port locations                               number of Gas Lift port locations
Number of grids                                                 Number of grids defined
Number of heat loss connections                                 Number of heat loss connections
Number of i-connected fluxsectors x 3                           3 times the number of i-connected fluxsectors
Number of i-connected fluxsectors x 4                           4 times the number of i-connected fluxsectors
Number of i-connected fluxsectors x numy                        numy times the number of i-connected fluxsectors
Number of j-connected fluxsectors x 3                           3 times the number of j-connected fluxsectors
Number of j-connected fluxsectors x 4                           4 times the number of j-connected fluxsectors
Number of j-connected fluxsectors x numy                        numy times the number of j-connected fluxsectors
Number of k-connected fluxsectors x 3                           3 times the number of k-connected fluxsectors
Number of k-connected fluxsectors x 4                           4 times the number of k-connected fluxsectors
Number of k-connected fluxsectors x numy                        numy times the number of k-connected fluxsectors
number of layer ijk elements                                    number of layer ijk elements
Number of lease lines                                           Number of lease lines
number of monitoring constraint                                 number of monitoring constraint
Number of newly added nodes X3                                  Number of newly added nodes X3 for NODE-based grid
Number of nodes X 3 of Node based Grid                          Number of nodes X 3 ofNode Based Corner Point Grid
Number of nodes, Cart. Con.                                     Number of nodes, Cartesian Connectivity
Number of Open Wells in Group                                   Number of Open Wells in Group
Number of ps indices                                            Number of packed storage indices
Number of ps indices for DR                                     Number of packed storage indices for dynamic refinement
Number of pvt regions                                           Number of pvt regions
Number of sectors                                               Number of sectors
Number of sectors (x1)                                          The number of sectors (x1)
number of sub-level nodes.                                      number of sub-level nodes.
Number of TS conducted for PMAINT                               Number of timesteps conducted for PMAINT
Number of variables in all FCDTABLE tables                      Number of variables in all FCDTABLE tables
number of WCUT entries in each table                            number of WCUT entries in each table
number of well constraint types                                 number of well constraint types
Number of well groups                                           Number of well groups
Number of wells                                                 Number of wells
Number of wells in reporting group                              Number of Wells in Reporting Groups
number of WHP  entries in each table                            number of WHP  entries in each table
Number sectors (x3)                                             3 times the number of sectors
Number sectors (x4)                                             4 times the number of sectors
Number sectors (xn)                                             nmxeqn times the number of sectors
Number ss indices                                               Number of spatial storage indices
Numbers of sketching points for groups                          Numbers of sketching points for groups
NUMX times NFLBLO                                               NUMX times NFLBLO
NUMX times NGLAYR                                               NUMX times NGLAYR
NUMX times NPTWG                                                NUMX times NPTWG
NUMY times NFLBLO                                               NUMY times NFLBLO
NUMY times NGLAYR                                               NUMY times NGLAYR
NUMY times NPTWG                                                NUMY times NPTWG
NW times NGLAYR                                                 NW times NGLAYR
NWCSGR                                                          CSS - Number of wells in group
NWELL times 3                                                   NWELL times 3
NWELL times NC                                                  NWELL times Number of Components
OB temp distrib - SAM                                           Overburden temperature distribution - SAM
OB temperature dist                                             Overburden temperature distribution
Oil Ave Sat SCTR                                                Average oil saturation per sector
Oil comp (mass frac)                                            Oil phase composition (mass frac)
Oil comp (mass frac)$C                                          Oil phase composition (mass frac)$C
Oil comp (mole frac)                                            Oil phase composition (mole frac)
Oil comp (mole frac)$C                                          Oil phase composition (mole frac)$C
Oil comp (vol frac)                                             Oil phase composition (vol frac)
Oil comp (vol frac)$C                                           Oil phase composition (vol frac)$C
Oil Component Moles SCTR                                        Oil Component Moles per SCTR
Oil Component Moles SCTR$C                                      Oil Component Moles$C per SCTR
Oil Flow Cum RC LEASE                                           Oil cumulative RC flow per leaseline
Oil Flow Cum RC LEASE I-CON                                     Oil cumulative RC flow per leaseline i-con
Oil Flow Cum RC LEASE J-CON                                     Oil cumulative RC flow per leaseline j-con
Oil Flow Cum RC LEASE K-CON                                     Oil cumulative RC flow per leaseline k-con
Oil Flow Cum SC LEASE                                           Oil cumulative flow per leaseline
Oil Flow Cum SC LEASE I-CON                                     Oil cumulative flow per leaseline i-con
Oil Flow Cum SC LEASE J-CON                                     Oil cumulative flow per leaseline j-con
Oil Flow Cum SC LEASE K-CON                                     Oil cumulative flow per leaseline k-con
Oil Flow Rate RC LEASE                                          Oil RC flow rate per leaseline
Oil Flow Rate RC LEASE I-CON                                    Oil RC flow rate per leaseline i-con
Oil Flow Rate RC LEASE J-CON                                    Oil RC flow rate per leaseline j-con
Oil Flow Rate RC LEASE K-CON                                    Oil RC flow rate per leaseline k-con
Oil Flow Rate SC LEASE                                          Oil flow rate per leaseline
Oil Flow Rate SC LEASE I-CON                                    Oil flow rate per leaseline i-con
Oil Flow Rate SC LEASE J-CON                                    Oil flow rate per leaseline j-con
Oil Flow Rate SC LEASE K-CON                                    Oil flow rate per leaseline k-con
Oil FVF in PVT table                                            Oil formation volume factor in PVT table.
Oil Inje Cum SCTR                                               Oil injection cumulative per sector
Oil Inje Mass Cum SCTR                                          Oil injection mass cumulative per sector
Oil Inje Mass Rate SCTR                                         Oil injection mass rate per sector
Oil Inje Rate SCTR                                              Oil injection rate per sector
Oil Inje SC Mol Cum SCTR                                        Oil SC molar injection cumulative per sector
Oil injection comp                                              Oil phase injection composition
Oil injection comp$C                                            Oil phase injection composition$C
Oil Injection Manifold Pressure                                 Oil Injection Manifold Pressure
Oil Injection Surface Pressure                                  Oil Injection Surface Pressure
Oil Mass Rate RC                                                Oil phase mass rate - reservoir conditions
Oil Mass Rate SC                                                Oil phase mass rate - surface conditions
Oil Mass Rate$C RC                                              Oil phase mass rate$C - reservoir conditions
Oil Mass Rate$C SC                                              Oil phase mass rate$C - surface conditions
Oil Mole Rate RC                                                Oil phase mole rate - reservoir conditions
Oil Mole Rate SC                                                Oil phase mole rate - surface conditions
Oil Mole Rate$C RC                                              Oil phase mole rate$C - reservoir conditions
Oil Mole Rate$C SC                                              Oil phase mole rate$C - surface conditions
Oil Moles IPF                                                   Oil Stream Moles in Place Fluids per sector
Oil Moles IPF$C                                                 Oil Stream Component Moles in Place Fluids per sector$C
Oil phase well index RC                                         Oil phase well index - reservoir conditions
Oil phase well index SC                                         Oil phase well index - surface conditions
Oil Prod Cum SCTR                                               Oil production cumulative per sector
Oil Prod Mass Cum SCTR                                          Oil production mass cumulative per sector
Oil Prod Mass Rate SCTR                                         Oil production mass rate per sector
Oil Prod Rate SCTR                                              Oil production rate per sector
Oil Prod SC Mol Cum SCTR                                        Oil SC cumulative molar production per sector
Oil Rate RC                                                     Oil phase volume rate - reservoir conditions
Oil Rate SC                                                     Oil phase volume rate - surface conditions
Oil Rate SC - Instantaneous On-time                             Oil phase volume rate - surface conditions during well on-time
Oil Rate$C RC                                                   Oil phase component volume rate$C - reservoir conditions
Oil Rate$C SC                                                   Oil phase component volume rate$C - surface conditions
Oil Rate[Sum] RC                                                Oil phase component volume rate[Sum] - reservoir conditions
Oil Rate[Sum] SC                                                Oil phase component volume rate[Sum] - surface conditions
Oil Recovery Factor old SCTR                                    Oil recovery factor per sector old
Oil Recovery Factor SCTR                                        Oil recovery factor per sector
Oil sat in well block                                           Oil saturation in well block
Oil Steam Ratio Cum SCTR                                        Cum-based oil-steam ratio per sector
Oil Steam Ratio Inst SCTR                                       Rate-based oil-steam ratio per sector
Oil Stream Well Mass Density SC                                 Oil stream well mass density - surface conditions
Oil Stream Well Molar Density SC                                Oil stream well molar density - surface conditions
Oil time-span-cumulatiion SC per well array                     Well oil accumulation within a network timestep - surface conditions 
Oil visc in PVT table                                           Oil viscosity in PVT table
Oil Volume RC SCTR                                              Oil volume reservoir conditions per sector
Oil Volume SC SCTR                                              Oil volume surface conditions per sector
Oil-steam ratio                                                 Oil-steam ratio
Old BHF rate value for STEAMTRAP2 constraint                    Old BHF rate value for STEAMTRAP2 constraint
On-time factor for groups                                       On-time factor for each group
On-time factor for wells                                        On-time factor for each well
On-time Fraction                                                Effective on-time fraction
Operating Condition                                             Current Operating Condition Flag
Operating condition num                                         Current operating condition number
operating constraint action                                     operating constraint action
operating constraint values per well                            operating constraint values per well
Operating constraints in history matching mode                  Operating constraints in history matching mode for each well
Original material in place                                      Original material in place
Original solid material in place                                Original solids in place
OT Ave max reservoir well prod phase rates                      OT Ave max reservoir well prod phase rates
OT Ave max surface well phase rates                             OT Ave max surface well phase rates
OT Ave Reservoir rate for layer ily, phase j                    OT Ave Reservoir rate for layer ily, phase j
OT Ave reservoir well phase injection rates                     OT Ave reservoir well phase injection rates
OT Ave reservoir well phase rates                               OT Ave reservoir well phase rates
OT Ave Surface rate for layer ily, phase j                      OT Ave Surface rate for layer ily, phase j
OT Ave surface well phase injection rates                       OT Ave surface well phase injection rates
OT Ave surface well phase rates                                 OT Ave surface well phase rates
Outer Radius                                                    Outer Radius of Wormhole Zone
Outer tubing radius                                             Outer tubing radius
Overburden heat loss parameter                                  Overburden heat loss parameter
Pcg (l-g table)                                                 Gas Capillary pressure in l-g rel perm table.
Perf path x-coordinate                                          Well layer perforation path vector x-coordinate
Perf path y-coordinate                                          Well layer perforation path vector y-coordinate
Perf path z-coordinate                                          Well layer perforation path vector z-coordinate
Perf path z-depth                                               Well layer perforation path z-depth
Perferation parameters for wells                                Perferation parameters for wells
Period Gas Production SC                                        Total gas production in previous period - surface conditions
Period INL Production SC                                        Total Intermediate Liquid production in previous period - surface conditions
Period lift gas injected per well                               Total lift gas injected in previous period per well
Period Liquid Production SC                                     Total liquid production in previous period - surface conditions
Period Oil Production SC                                        Total oil production in previous period - surface conditions
Period Solvent Production SC                                    Total Solvent production/injection in previous period - surface conditions
Period Water Production SC                                      Total water production in previous period - surface conditions
Period WTG Production SC                                        Total Wet Gas production in previous period - surface conditions
Perm in dis. wellbore                                           Permeability in discretized wellbore blocks
Perm in flex wellbore                                           Permeability in flexible wellbore blocks
PGT gas status flag                                             Gas pressure gradient threshold status - integer flag
PGT status flag                                                 Pressure gradient threshold status - integer flag
PGT water status flag                                           Water pressure gradient threshold status - integer flag
phase identifier for node guide rates.                          phase identifier for node guide rates.
phase identifier for well guide rates                           phase identifier for well guide rates
phase injection rates - reservoir                               phase injection rates - reservoir
phase injection rates - surface                                 phase injection rates - surface
phase rates at assigned target node                             phase rates at assigned target node
PHASE times NFLW                                                PHASE times NFLW
PHWELLBORE Downhole Enthalpy                                    PHWELLBORE Fluid Enthalpy at Downhole
PHWELLBORE Downhole Pressure                                    PHWELLBORE Fluid Pressure at Downhole
PHWELLBORE Downhole Steam Quality                               PHWELLBORE Steam Quality at Downhole
PHWELLBORE Downhole Temperature                                 PHWELLBORE Fluid Temperature at Downhole
PHWELLBORE Pump Enthalpy                                        PHWELLBORE Fluid Enthalpy at Pump
PHWELLBORE Pump Pressure                                        PHWELLBORE Fluid Pressure at Pump
PHWELLBORE Pump Steam Quality                                   PHWELLBORE Steam Quality at Pump
PHWELLBORE Pump Temperature                                     PHWELLBORE Fluid Temperature at Pump
PHWELLBORE Surface Enthalpy                                     PHWELLBORE Fluid Enthalpy at Surface
PHWELLBORE Surface Pressure                                     PHWELLBORE Fluid Pressure at Surface
PHWELLBORE Surface Steam Quality                                PHWELLBORE Steam Quality at Surface
PHWELLBORE Surface Temperature                                  PHWELLBORE Fluid Temperature at Surface
PINJBH                                                          Bottom-hole pressure - SAM
PINJW                                                           Saturation pressure - Co-injection
Plastic mode for Pthresh of Faults                              Plastic mode for Pthresh of Faults
Plastic mode for Pthresh of ITYPE                               Plastic mode for Pthresh of ITYPE
Platform pressure value                                         Platform pressure value
PMat. col. ind. ptr.                                            Pressure matrix column index pointer
polymer conc injected per well                                  polymer concentration injected per well
Polymer Flow Cum LEASE                                          Polymer cumulative flow per leaseline
Polymer Flow Cum LEASE I-CON                                    Polymer cumulative flow per leaseline i-con
Polymer Flow Cum LEASE J-CON                                    Polymer cumulative flow per leaseline j-con
Polymer Flow Cum LEASE K-CON                                    Polymer cumulative flow per leaseline k-con
Polymer Flow Rate LEASE                                         Polymer flow rate per leaseline
Polymer Flow Rate LEASE I-CON                                   Polymer flow rate per leaseline i-con
Polymer Flow Rate LEASE J-CON                                   Polymer flow rate per leaseline j-con
Polymer Flow Rate LEASE K-CON                                   Polymer flow rate per leaseline k-con
Polymer Inje Cum SCTR                                           Polymer injection cumulative per sector
Polymer Inje Rate SCTR                                          Polymer injection rate per sector
Polymer Mass Rate                                               Polymer mass rate
Polymer Mass Rate - Instantaneous On-time                       Polymer mass rate during well on time
Polymer Mass SC SCTR                                            Polymer mass surface conditions per sector
Polymer phase well index                                        Polymer phase well index 
Polymer phase well index SC                                     Polymer phase well index - surface conditions
Polymer Prod Cum SCTR                                           Polymer production cumulative per sector
Polymer Prod Rate SCTR                                          Polymer production rate per sector
Polymer Recovery Fac SCTR                                       Polymer recovery factor per sector
Polymer viscosity reduction factor                              Polymer viscosity reduction factor
Polymer volume - Sector                                         Polymer volume at reservoir conditions per sector
pool reservoir rate for ip phase                                pool reservoir rate for ip phase
pool surface rate for ip phase                                  pool surface rate for ip phase
Pore Volume SCTR                                                Total pore volume per sector
Poro*Th Weighted Pressure                                       Poro*Th Weighted Pressure
Position                                                        Position
Potential for gas velocity                                      Potential for gas velocity
Potential for oil velocity                                      Potential for oil velocity
Potential for water velocity                                    Potential for water velocity
Potential Gradient                                              Electrical Potential Gradient
pres diff between well and reservoir                            pres diff between well and reservoir
Pressure at surface                                             Pressure at surface
Pressure Dependant Transmissibility multipliers                 Pressure Dependant Transmissibility multipliers
Pressure Dependant Transmissibility multipliers - Logical Flag1 Pressure Dependant Transmissibility multipliers - Logical Flag1
Printed fluxsector information                                  Bit flags indicating the printed fluxsector information
Printed grid information                                        Vector indicating the printed grid information
priority list of wells in queue                                 priority list of wells in queue
produc phase rates per well- reservoir                          produc phase rates per well- reservoir
Produced Steam CWE                                              Produced Steam CWE
production group for gas recycling/voidage                      production group for gas recycling/voidage
production group for solvent recycling/voidage                  production group for solvent recycling/voidage
production group for water recycling/voidage                    production group for water recycling/voidage
Production Manifold Pressure                                    Production Manifold Pressure
production phase rates per well- surface                        production phase rates per well- surface
Production Surface Pressure                                     Production Surface Pressure
PRS calculation mode                                            PRS calculation mode
PRSW0                                                           Initial BHP - SAM, TABLE
pump depth                                                      pump depth
pump discharge pressure                                         pump discharge pressure
pump max pressure                                               pump max pressure
PWFK - STARS WB PDROP and HLOSS                                 PWFK - STARS WB PDROP and HLOSS
QO(ng,nt) for entry ng, in table nt                             QO(ng,nt) for entry ng, in table nt
QSYSLY                                                          LAYER TOTAL ENTHALPY
QUAL                                                            Bottom-hole quality - SAM
QUALAY                                                          LAYER QUALITY
Quality of injected steam                                       Quality of injected steam
QUALWH                                                          Boiler quality - Co-injection
Ranking weight coefficients - GASI denominator                  Ranking weight coefficients - GASI denominator
Ranking weight coefficients - GASI numerator                    Ranking weight coefficients - GASI numerator
Ranking weight coefficients - PROD denominator                  Ranking weight coefficients - PROD denominator
Ranking weight coefficients - PROD numerator                    Ranking weight coefficients - PROD numerator
Ranking weight coefficients - SOLI denominator                  Ranking weight coefficients - SOLI denominator
Ranking weight coefficients - SOLI numerator                    Ranking weight coefficients - SOLI numerator
Ranking weight coefficients - WATI denominator                  Ranking weight coefficients - WATI denominator
Ranking weight coefficients - WATI numerator                    Ranking weight coefficients - WATI numerator
Rate cutback factor for GLR constraint                          Rate cutback factor for GLR constraint
Rate cutback factor for GOR constraint                          Rate cutback factor for GOR constraint
Rate cutback factor for PRS constraint                          Rate cutback factor for PRS constraint
Rate cutback factor for STEAM1 constraint                       Rate cutback factor for STEAM1 constraint
Rate cutback factor for STEAMTRAP2 constraint                   Rate cutback factor for STEAMTRAP2 constraint
